2026-01-08 13:37:12 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:12 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:12 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:14 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:14 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:14 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:14 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:16 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:16 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:16 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:16 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:18 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:18 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:18 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:37:18 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:37:20 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:37:20 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:37:20 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
